,,,,R0,Rp,Cp,soc
12.11,0.59,28,66,0.072688761925451,0.046750904770916,2.61687883607885,0.632799999999995
12.11,0.59,28,66,0.072688761925451,0.046750904770916,2.61687883607885,0.629199999999995
12.11,0.59,28,66,0.072688761925451,0.046750904770916,2.61687883607885,0.625599999999995
12.33,0.59,28,66,0.074009284437722,0.047600219308456,2.66441916175493,0.621999999999995
12.33,0.44,28,66,0.099239722314218,0.063827566799975,3.57274387598957,0.618399999999995
12.33,0.44,28,66,0.099239722314218,0.063827566799975,3.57274387598957,0.614799999999995
12.33,0.44,28,66,0.099239722314218,0.063827566799975,3.57274387598957,0.611199999999995
12.06,0.44,28,66,0.097066589708797,0.06242988285545,3.49450860863213,0.607599999999995
12.06,0.49,28,66,0.087161835656879,0.05605948664571,3.13792609754722,0.603999999999995
12.06,0.49,28,66,0.087161835656879,0.05605948664571,3.13792609754722,0.600399999999995
12.06,0.49,28,65,0.087161835656879,0.05605948664571,3.13792609754722,0.596799999999995
0.1,0.49,28,65,0.000722734955696,0.000464838197726,0.026019287707688,0.593199999999995
0.1,0.05,28,65,0.007082802565816,0.004555414337711,0.254989019535346,0.589599999999995
0.1,0.05,28,65,0.007082802565816,0.004555414337711,0.254989019535346,0.585999999999995
0.1,0.05,28,65,0.007082802565816,0.004555414337711,0.254989019535346,0.582399999999995
