,,,,R0,Rp,Cp,soc
0.07,0,0,0,0,0,0,0.9964
0.07,0.24,0,0,0.001032908707515,0.000664331257583,0,0.9928
0.07,0.24,28,0,0.001032908707515,0.000664331257583,0.037185898682238,0.9892
0.07,0.24,28,67,0.001032908707515,0.000664331257583,0.037185898682238,0.9856
0.07,0.24,28,67,0.001032908707515,0.000664331257583,0.037185898682238,0.982
0.07,0.24,28,67,0.001032908707515,0.000664331257583,0.037185898682238,0.9784
0.07,0.24,28,67,0.001032908707515,0.000664331257583,0.037185898682238,0.9748
0.07,0.24,28,66,0.001032908707515,0.000664331257583,0.037185898682238,0.9712
0.07,0.24,28,66,0.001032908707515,0.000664331257583,0.037185898682238,0.9676
0.07,0.2,28,66,0.001239490449018,0.000797197509099,0.044623078418686,0.964
0.07,0.2,28,66,0.001239490449018,0.000797197509099,0.044623078418686,0.9604
0.07,0.2,28,66,0.001239490449018,0.000797197509099,0.044623078418686,0.956799999999999
11.82,0.2,28,66,0.209296815819864,0.134612493679363,7.53492552726948,0.953199999999999
11.82,0.68,28,66,0.061557887005843,0.039591909905695,2.21615456684397,0.949599999999999
11.82,0.68,28,66,0.061557887005843,0.039591909905695,2.21615456684397,0.945999999999999
11.82,0.68,28,67,0.061557887005843,0.039591909905695,2.21615456684397,0.942399999999999
11.99,0.68,28,67,0.06244323732657,0.040161336697909,2.24802819428588,0.938799999999999
11.99,0.49,28,67,0.086655921187892,0.055734099907302,3.11971259615184,0.935199999999999
11.99,0.49,28,67,0.086655921187892,0.055734099907302,3.11971259615184,0.931599999999999
11.99,0.49,28,66,0.086655921187892,0.055734099907302,3.11971259615184,0.927999999999999
12.06,0.49,28,66,0.087161835656879,0.05605948664571,3.13792609754722,0.924399999999999
12.06,0.44,28,66,0.097066589708797,0.06242988285545,3.49450860863213,0.920799999999999
12.06,0.44,28,66,0.097066589708797,0.06242988285545,3.49450860863213,0.917199999999999
12.06,0.44,28,66,0.097066589708797,0.06242988285545,3.49450860863213,0.913599999999999
12.33,0.44,28,66,0.099239722314218,0.063827566799975,3.57274387598957,0.909999999999999
12.33,0.59,28,66,0.074009284437722,0.047600219308456,2.66441916175493,0.906399999999999
12.33,0.59,28,66,0.074009284437722,0.047600219308456,2.66441916175493,0.902799999999999
12.33,0.59,28,66,0.074009284437722,0.047600219308456,2.66441916175493,0.899199999999999
11.96,0.59,28,66,0.071788405667085,0.04617182667714,2.58446497766334,0.895599999999999
11.96,0.54,28,66,0.078435480265889,0.050446995813912,2.82376729040995,0.891999999999999
11.96,0.54,28,66,0.078435480265889,0.050446995813912,2.82376729040995,0.888399999999998
11.96,0.54,28,66,0.078435480265889,0.050446995813912,2.82376729040995,0.884799999999999
12.04,0.54,28,66,0.078960132307801,0.050784433913001,2.84265536593108,0.881199999999998
12.04,0.39,28,66,0.109329413964648,0.070316908494925,3.93598435282765,0.877599999999998
12.04,0.39,28,66,0.109329413964648,0.070316908494925,3.93598435282765,0.873999999999998
12.04,0.39,28,67,0.109329413964648,0.070316908494925,3.93598435282765,0.870399999999998
11.94,0.39,28,67,0.108421362353646,0.069732881015731,3.90329345288722,0.866799999999998
11.94,0.49,28,67,0.086294553710045,0.055501680808439,3.10670295229799,0.863199999999998
11.94,0.49,28,67,0.086294553710045,0.055501680808439,3.10670295229799,0.859599999999998
11.94,0.49,28,66,0.086294553710045,0.055501680808439,3.10670295229799,0.855999999999998
12.11,0.49,28,66,0.087523203134727,0.056291905744573,3.15093574140106,0.852399999999998
12.11,0.34,28,66,0.126136380988283,0.081126570043649,4.54105445084271,0.848799999999998
